"listing-link href","wt-width-full src","wt-text-caption","currency-value","wt-text-brick"
"https://www.etsy.com/listing/4383316297/christmas-pines-turkish-hand-towel?click_key=6ebff2acb2b1c2e984a0c95097c35804155636eb%3A4383316297&click_sum=b08d48f5&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_1&sts=1","https://i.etsystatic.com/51506735/r/il/3f3168/7280274050/il_340x270.7280274050_3pye.jpg","Christmas Pines Turkish Hand Towel","25.00",""
"https://www.etsy.com/listing/4313909554/blue-ticking-wreath-bow?click_key=69ae4a19634e4e3c26b6bb2199ffc5f1390875b8%3A4313909554&click_sum=54fe6c0a&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_2&sca=1&sts=1","https://i.etsystatic.com/51506735/r/il/fe86e4/6905859878/il_340x270.6905859878_mk5m.jpg","Blue Ticking Wreath Bow","38.00","Only 3 left"
"https://www.etsy.com/listing/1756437803/witch-linen-cocktail-napkins?click_key=c6cb432de153c3211a234a0051a5db97d4ed0e8c%3A1756437803&click_sum=9d3bc24b&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_3&sts=1","https://i.etsystatic.com/51506735/r/il/49882b/6148578397/il_340x270.6148578397_89k1.jpg","Witch Linen Cocktail Napkins","36.00",""
"https://www.etsy.com/listing/1821716473/christmas-tree-bow-topper?click_key=ec4b228aa86b89761429f476c1339c1fec2a4348%3A1821716473&click_sum=a81c08e4&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_4&sts=1","https://i.etsystatic.com/51506735/r/il/92d95b/6408956734/il_340x270.6408956734_r9my.jpg","Christmas Tree Bow Topper","75.00",""
"https://www.etsy.com/listing/4398814367/red-mistletoe-wreath-bow?click_key=6f5151da97861debfdb66a6926d141e48cec9595%3A4398814367&click_sum=830e995a&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_5&sts=1","https://i.etsystatic.com/51506735/r/il/c3bf80/7358054970/il_340x270.7358054970_4cds.jpg","Red Mistletoe Wreath Bow","40.00",""
"https://www.etsy.com/listing/4329342657/flowery-flag-baseball-cap?click_key=be2b5bbb0776710b728542affb5e007b3cf84c25%3A4329342657&click_sum=e0548e37&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_6&sts=1","https://i.etsystatic.com/51506735/r/il/3654c6/6987276016/il_340x270.6987276016_dhzi.jpg","Flowery Flag Baseball Cap","28.00",""
"https://www.etsy.com/listing/4328949056/patriotic-crab-baseball-cap?click_key=78f1dd066511e9ffdb99293943ce4925106a4404%3A4328949056&click_sum=fe5d60c1&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_7&sts=1","https://i.etsystatic.com/51506735/r/il/16874d/7032983953/il_340x270.7032983953_8mae.jpg","Patriotic Crab Baseball Cap","20.00",""
"https://www.etsy.com/listing/4331255901/red-broad-stripes-wreath-bow?click_key=19b1f87c2ff92b610f9ce4131e37f0becb4d7b5a%3A4331255901&click_sum=6ea1d432&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_8&sca=1&sts=1","https://i.etsystatic.com/51506735/r/il/28b2d8/7046819829/il_340x270.7046819829_1joq.jpg","Red Broad Stripes Wreath Bow","40.00","Only 1 left"
"https://www.etsy.com/listing/4328401147/prince-charming-toddlerinfant-heirloom?click_key=678042ae4f5ba15fd1c6c59bc70ea896d615a564%3A4328401147&click_sum=6f8cd6ff&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_9&sts=1","https://i.etsystatic.com/51506735/r/il/307688/6982108512/il_340x270.6982108512_dp9m.jpg","Prince Charming Toddler/Infant Heirloom Quilt","55.00",""
"https://www.etsy.com/listing/1705623502/personalized-baby-swaddle?click_key=8fdad65bdeb8bf1ff79a9884b2d154fe90f3c51c%3A1705623502&click_sum=90dbe23c&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_10&sts=1","https://i.etsystatic.com/51506735/r/il/95aeec/7179831011/il_340x270.7179831011_jtbh.jpg","Personalized Baby Swaddle","28.00",""
"https://www.etsy.com/listing/4327435866/nautical-theme-baby-heirloom-quilt?click_key=0cfc5d466290fcd8ebc3ac2943180648211ff56f%3A4327435866&click_sum=7c428608&sr_prefetch=1&pf_from=shop_home&ref=shop_home_active_11&sts=1","https://i.etsystatic.com/51506735/r/il/c25863/7024869719/il_340x270.7024869719_hq4h.jpg","Nautical Theme Baby Heirloom Quilt","40.00",""
